time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.400,-0.543,0.783
0.020,-0.435,-0.539,0.770
0.040,-0.455,-0.532,0.760
0.060,-0.462,-0.524,0.748
0.080,-0.469,-0.507,0.735
0.100,-0.462,-0.490,0.724
0.120,-0.448,-0.481,0.723
0.140,-0.447,-0.481,0.718
0.160,-0.436,-0.478,0.719
0.180,-0.441,-0.477,0.731
0.200,-0.409,-0.486,0.736
0.220,-0.401,-0.495,0.729
0.240,-0.393,-0.503,0.724
0.260,-0.375,-0.521,0.735
0.280,-0.361,-0.535,0.733
0.300,-0.354,-0.533,0.729
0.320,-0.350,-0.534,0.718
0.340,-0.362,-0.544,0.718
0.360,-0.324,-0.543,0.749
0.380,-0.296,-0.556,0.760
0.400,-0.294,-0.559,0.760
0.420,-0.301,-0.562,0.738
0.440,-0.278,-0.566,0.739
0.460,-0.204,-0.563,0.760
0.480,-0.168,-0.569,0.782
0.500,-0.143,-0.567,0.801
0.520,-0.100,-0.582,0.805
0.540,-0.068,-0.579,0.835
0.560,-0.052,-0.588,0.852
0.580,-0.013,-0.593,0.866
0.600,0.000,-0.599,0.873
0.620,0.006,-0.597,0.902
0.640,0.010,-0.591,0.915
0.660,0.010,-0.589,0.903
0.680,0.051,-0.582,0.930
0.700,0.080,-0.587,0.973
0.720,0.104,-0.590,0.998
0.740,0.085,-0.583,0.995
0.760,0.097,-0.577,1.016
0.780,0.100,-0.564,1.045
0.800,0.099,-0.563,1.061
0.820,0.099,-0.548,1.047
0.840,0.114,-0.537,1.045
0.860,0.116,-0.518,1.062
0.880,0.111,-0.497,1.064
0.900,0.102,-0.484,1.069
0.920,0.072,-0.464,1.082
0.940,0.066,-0.447,1.103
0.960,0.013,-0.423,1.119
0.980,-0.021,-0.406,1.132
1.000,-0.059,-0.386,1.121
1.020,-0.101,-0.360,1.119
1.040,-0.155,-0.336,1.127
1.060,-0.205,-0.324,1.110
1.080,-0.245,-0.323,1.077
1.100,-0.274,-0.317,1.052
1.120,-0.287,-0.312,1.021
1.140,-0.294,-0.314,0.990
1.160,-0.297,-0.322,0.966
1.180,-0.300,-0.332,0.925
1.200,-0.309,-0.341,0.882
1.220,-0.319,-0.349,0.853
1.240,-0.319,-0.358,0.815
1.260,-0.330,-0.367,0.790
1.280,-0.339,-0.384,0.755
1.300,-0.348,-0.401,0.713
1.320,-0.365,-0.408,0.690
1.340,-0.359,-0.425,0.659
1.360,-0.372,-0.441,0.624
1.380,-0.368,-0.467,0.594
1.400,-0.357,-0.494,0.563
1.420,-0.341,-0.516,0.537
1.440,-0.306,-0.553,0.521
1.460,-0.301,-0.584,0.509
1.480,-0.293,-0.598,0.517
1.500,-0.252,-0.620,0.512
1.520,-0.253,-0.647,0.482
1.540,-0.250,-0.674,0.462
1.560,-0.196,-0.684,0.476
1.580,-0.153,-0.696,0.512
1.600,-0.135,-0.714,0.549
1.620,-0.081,-0.740,0.575
1.640,-0.104,-0.751,0.596
1.660,-0.100,-0.751,0.602
1.680,-0.048,-0.757,0.592
1.700,-0.016,-0.771,0.648
1.720,-0.002,-0.779,0.728
1.740,0.041,-0.764,0.707
1.760,-0.000,-0.738,0.669
1.780,-0.002,-0.730,0.740
1.800,0.021,-0.705,0.873
1.820,-0.026,-0.686,0.922
1.840,-0.105,-0.652,0.883
1.860,-0.149,-0.617,0.920
1.880,-0.157,-0.594,0.967
1.900,-0.182,-0.555,1.022
1.920,-0.179,-0.540,1.055
1.940,-0.194,-0.524,1.043
1.960,-0.205,-0.508,1.045
1.980,-0.235,-0.480,1.066
2.000,-0.226,-0.464,1.098
2.020,-0.226,-0.449,1.104
