time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.999,-0.136,0.115
0.020,-1.001,-0.135,0.111
0.040,-0.999,-0.133,0.111
0.060,-0.998,-0.132,0.119
0.080,-1.006,-0.130,0.114
0.100,-1.005,-0.129,0.114
0.120,-1.000,-0.130,0.116
0.140,-1.003,-0.132,0.115
0.160,-1.007,-0.131,0.114
0.180,-1.009,-0.133,0.115
0.200,-1.008,-0.134,0.117
0.220,-1.009,-0.134,0.118
0.240,-1.008,-0.135,0.123
0.260,-1.008,-0.136,0.120
0.280,-1.006,-0.136,0.115
0.300,-1.001,-0.138,0.114
0.320,-1.000,-0.138,0.118
0.340,-1.006,-0.135,0.122
0.360,-1.011,-0.136,0.119
0.380,-1.008,-0.138,0.117
0.400,-1.004,-0.136,0.119
0.420,-1.006,-0.132,0.114
0.440,-1.008,-0.129,0.109
0.460,-1.001,-0.131,0.120
0.480,-1.000,-0.132,0.125
0.500,-1.003,-0.135,0.127
0.520,-0.997,-0.134,0.128
0.540,-0.992,-0.133,0.110
0.560,-0.988,-0.131,0.114
0.580,-0.997,-0.131,0.101
0.600,-0.977,-0.136,0.091
0.620,-0.983,-0.141,0.117
0.640,-1.011,-0.144,0.127
0.660,-1.017,-0.144,0.125
0.680,-1.025,-0.143,0.116
0.700,-1.029,-0.146,0.116
0.720,-1.023,-0.147,0.115
0.740,-1.015,-0.149,0.125
0.760,-1.004,-0.153,0.134
0.780,-1.004,-0.156,0.128
0.800,-1.007,-0.154,0.131
0.820,-0.995,-0.154,0.130
0.840,-0.985,-0.152,0.118
0.860,-0.994,-0.147,0.111
0.880,-1.001,-0.145,0.113
0.900,-1.008,-0.146,0.120
0.920,-1.003,-0.146,0.122
0.940,-0.992,-0.144,0.118
0.960,-0.998,-0.141,0.118
0.980,-1.005,-0.142,0.123
1.000,-1.010,-0.136,0.125
1.020,-1.010,-0.134,0.134
1.040,-1.004,-0.137,0.135
1.060,-1.001,-0.136,0.130
1.080,-0.998,-0.133,0.134
1.100,-0.997,-0.132,0.139
1.120,-1.003,-0.130,0.133
1.140,-0.994,-0.131,0.124
1.160,-0.990,-0.133,0.115
1.180,-0.992,-0.136,0.119
1.200,-1.004,-0.133,0.123
1.220,-1.017,-0.129,0.130
1.240,-1.020,-0.128,0.127
1.260,-1.002,-0.133,0.128
1.280,-1.022,-0.132,0.145
